sample_id,culture_condition,pulse_condition,bispecific_condition,time,H460,797,14169,1015
tumor_rep2_pp,tumor_only,peptide_pulse,bispecific,96,50683,7512,5417,13157
tumor_rep3_pp,tumor_only,peptide_pulse,bispecific,96,48478,6764,4505,12530
ET1_rep1_pp,E:T1,peptide_pulse,bispecific,96,51237,4044,637,4589
ET1_rep2_pp,E:T1,peptide_pulse,bispecific,96,45668,5030,796,5788
ET1_rep3_pp,E:T1,peptide_pulse,bispecific,96,48233,3982,567,5803
ET5_rep1_pp,E:T5,peptide_pulse,bispecific,96,26126,319,115,286
ET5_rep2_pp,E:T5,peptide_pulse,bispecific,96,25589,274,105,407
ET5_rep3_pp,E:T5,peptide_pulse,bispecific,96,25852,194,61,377
tumor_rep1,tumor_only,no_pulse,no_bispecific,48,127603,31048,28294,24258
tumor_rep2,tumor_only,no_pulse,no_bispecific,48,137524,29859,28795,28943
tumor_rep3,tumor_only,no_pulse,no_bispecific,48,131696,27735,30688,28851
tumor_rep4,tumor_only,no_pulse,no_bispecific,48,133479,30408,29233,31088
ET1_rep1,E:T1,no_pulse,no_bispecific,48,128832,19550,25456,27100
ET1_rep2,E:T1,no_pulse,no_bispecific,48,126966,20391,29990,29528
ET1_rep3,E:T1,no_pulse,no_bispecific,48,124837,20000,30808,30065
ET1_rep4,E:T1,no_pulse,no_bispecific,48,121274,17719,30009,29021
ET5_rep1,E:T5,no_pulse,no_bispecific,48,85224,945,15646,15693
ET5_rep2,E:T5,no_pulse,no_bispecific,48,95901,1592,15533,16109
ET5_rep3,E:T5,no_pulse,no_bispecific,48,95375,1473,17713,16001
ET5_rep4,E:T5,no_pulse,no_bispecific,48,89315,1585,16439,14339
tumor_rep1_pp,tumor_only,peptide_pulse,no_bispecific,48,135433,29716,35682,28315
tumor_rep2_pp,tumor_only,peptide_pulse,no_bispecific,48,143655,26959,36496,26626
tumor_rep3_pp,tumor_only,peptide_pulse,no_bispecific,48,145311,28742,41504,31043
tumor_rep4_pp,tumor_only,peptide_pulse,no_bispecific,48,140624,29115,34787,30790
ET1_rep1_pp,E:T1,peptide_pulse,no_bispecific,48,106295,16826,25245,24643
ET1_rep2_pp,E:T1,peptide_pulse,no_bispecific,48,114619,17067,28261,23323
