cell_line,E:T,T-Cells,peptide,luminescence
PER403,8:1,KO TCR,Pulse,47337
JCM1,0:1,None,No pulse,406384
JCM1,0:1,None,No pulse,422408
JCM1,0:1,None,No pulse,415161
JCM1,0:1,None,Puromycin,616
JCM1,0:1,None,Puromycin,833
JCM1,0:1,None,Puromycin,899
JCM1,1:1,TCR-T,No pulse,199197
JCM1,1:1,TCR-T,No pulse,206950
JCM1,1:1,TCR-T,No pulse,211936
JCM1,2:1,TCR-T,No pulse,129831
JCM1,2:1,TCR-T,No pulse,174703
JCM1,2:1,TCR-T,No pulse,232609
JCM1,4:1,TCR-T,No pulse,86004
JCM1,4:1,TCR-T,No pulse,103054
JCM1,4:1,TCR-T,No pulse,107644
JCM1,8:1,TCR-T,No pulse,5927
JCM1,8:1,TCR-T,No pulse,30307
JCM1,8:1,TCR-T,No pulse,18117
JCM1,1:1,TCR-T,Pulse,78329
JCM1,1:1,TCR-T,Pulse,69956
JCM1,1:1,TCR-T,Pulse,71617
JCM1,2:1,TCR-T,Pulse,82456
JCM1,2:1,TCR-T,Pulse,90957
JCM1,2:1,TCR-T,Pulse,74284
JCM1,4:1,TCR-T,Pulse,91029
JCM1,4:1,TCR-T,Pulse,69345
JCM1,4:1,TCR-T,Pulse,44916
JCM1,8:1,TCR-T,Pulse,9720
JCM1,8:1,TCR-T,Pulse,36937
JCM1,8:1,TCR-T,Pulse,23328
JCM1,1:1,KO TCR,No pulse,365419
JCM1,1:1,KO TCR,No pulse,402316
JCM1,1:1,KO TCR,No pulse,334175
JCM1,2:1,KO TCR,No pulse,360875
JCM1,2:1,KO TCR,No pulse,357702
JCM1,2:1,KO TCR,No pulse,294521
JCM1,4:1,KO TCR,No pulse,237400
JCM1,4:1,KO TCR,No pulse,264453
JCM1,4:1,KO TCR,No pulse,297845
JCM1,8:1,KO TCR,No pulse,81750
JCM1,8:1,KO TCR,No pulse,79855
JCM1,8:1,KO TCR,No pulse,179476
JCM1,1:1,KO TCR,Pulse,420817
JCM1,1:1,KO TCR,Pulse,450053
JCM1,1:1,KO TCR,Pulse,428582
JCM1,2:1,KO TCR,Pulse,367473
JCM1,2:1,KO TCR,Pulse,376799
JCM1,2:1,KO TCR,Pulse,356223
JCM1,4:1,KO TCR,Pulse,316652
JCM1,4:1,KO TCR,Pulse,301079
JCM1,4:1,KO TCR,Pulse,319390
JCM1,8:1,KO TCR,Pulse,234393
JCM1,8:1,KO TCR,Pulse,197061
JCM1,8:1,KO TCR,Pulse,197373
TCR-T Cells,1:0,TCR-T,None,-74
TCR-T Cells,1:0,TCR-T,None,-25
TCR-T Cells,1:0,TCR-T,None,153
TCR-T Cells,2:0,TCR-T,None,-83
TCR-T Cells,2:0,TCR-T,None,-58
TCR-T Cells,2:0,TCR-T,None,92
TCR-T Cells,4:0,TCR-T,None,-42
TCR-T Cells,4:0,TCR-T,None,134
TCR-T Cells,4:0,TCR-T,None,78
TCR-T Cells,8:0,TCR-T,None,109
TCR-T Cells,8:0,TCR-T,None,29
TCR-T Cells,8:0,TCR-T,None,-25
