cell_line,concentration,condition,normalized_viability
H460,0,"-CD3/CD28, -PDL1",0.907207
H460,10000,"-CD3/CD28, -PDL1",1.135128
H460,50000,"-CD3/CD28, -PDL1",1.093564
H460,250000,"-CD3/CD28, -PDL1",0.996103
H460,0,"-CD3/CD28, -PDL1",1.041447
H460,10000,"-CD3/CD28, -PDL1",1.108822
H460,50000,"-CD3/CD28, -PDL1",1.118499
H460,250000,"-CD3/CD28, -PDL1",0.990136
H460,0,"-CD3/CD28, -PDL1",1.051347
H460,10000,"-CD3/CD28, -PDL1",1.059447
H460,50000,"-CD3/CD28, -PDL1",1.108894
H460,250000,"-CD3/CD28, -PDL1",0.971885
H460,0,"+CD3/CD28, -PDL1",0.910513
H460,10000,"+CD3/CD28, -PDL1",0.995117
H460,50000,"+CD3/CD28, -PDL1",0.799908
H460,250000,"+CD3/CD28, -PDL1",0.545055
H460,0,"+CD3/CD28, -PDL1",1.163529
H460,10000,"+CD3/CD28, -PDL1",1.058121
H460,50000,"+CD3/CD28, -PDL1",0.841695
H460,250000,"+CD3/CD28, -PDL1",0.507353
H460,0,"+CD3/CD28, -PDL1",1.139616
H460,10000,"+CD3/CD28, -PDL1",1.050496
H460,50000,"+CD3/CD28, -PDL1",0.849597
H460,250000,"+CD3/CD28, -PDL1",0.521088
H460,0,"-CD3/CD28, +PDL1",0.885283
H460,10000,"-CD3/CD28, +PDL1",1.230681
H460,50000,"-CD3/CD28, +PDL1",1.255534
H460,250000,"-CD3/CD28, +PDL1",1.179755
H460,0,"-CD3/CD28, +PDL1",1.117065
H460,10000,"-CD3/CD28, +PDL1",1.315151
H460,50000,"-CD3/CD28, +PDL1",1.267388
H460,250000,"-CD3/CD28, +PDL1",1.183491
H460,0,"-CD3/CD28, +PDL1",1.167382
H460,10000,"-CD3/CD28, +PDL1",1.284491
H460,50000,"-CD3/CD28, +PDL1",1.266142
H460,250000,"-CD3/CD28, +PDL1",1.037594
H460,0,"+CD3/CD28, +PDL1",0.745084
H460,10000,"+CD3/CD28, +PDL1",0.97701
H460,50000,"+CD3/CD28, +PDL1",0.843101
H460,250000,"+CD3/CD28, +PDL1",0.518257
H460,0,"+CD3/CD28, +PDL1",1.02773
H460,10000,"+CD3/CD28, +PDL1",1.044995
H460,50000,"+CD3/CD28, +PDL1",0.849866
H460,250000,"+CD3/CD28, +PDL1",0.476971
H460,0,"+CD3/CD28, +PDL1",1.039207
H460,10000,"+CD3/CD28, +PDL1",1.031798
H460,50000,"+CD3/CD28, +PDL1",0.842958
H460,250000,"+CD3/CD28, +PDL1",0.434234
