cell_line,concentration,condition,normalized_viability
14169,0,"-CD3/CD28, -PDL1",0.990234
14169,10000,"-CD3/CD28, -PDL1",0.964422
14169,50000,"-CD3/CD28, -PDL1",0.942262
14169,250000,"-CD3/CD28, -PDL1",0.925164
14169,0,"-CD3/CD28, -PDL1",1.024926
14169,10000,"-CD3/CD28, -PDL1",0.92699
14169,50000,"-CD3/CD28, -PDL1",0.957533
14169,250000,"-CD3/CD28, -PDL1",0.935373
14169,0,"-CD3/CD28, -PDL1",0.984839
14169,10000,"-CD3/CD28, -PDL1",0.934377
14169,50000,"-CD3/CD28, -PDL1",0.896281
14169,250000,"-CD3/CD28, -PDL1",0.924168
14169,0,"+CD3/CD28, -PDL1",0.833785
14169,10000,"+CD3/CD28, -PDL1",0.959608
14169,50000,"+CD3/CD28, -PDL1",0.834034
14169,250000,"+CD3/CD28, -PDL1",0.476069
14169,0,"+CD3/CD28, -PDL1",0.914458
14169,10000,"+CD3/CD28, -PDL1",0.927239
14169,50000,"+CD3/CD28, -PDL1",0.931057
14169,250000,"+CD3/CD28, -PDL1",0.524373
14169,0,"+CD3/CD28, -PDL1",0.903585
14169,10000,"+CD3/CD28, -PDL1",0.980025
14169,50000,"+CD3/CD28, -PDL1",0.918027
14169,250000,"+CD3/CD28, -PDL1",0.516738
14169,0,"-CD3/CD28, +PDL1",1.038206
14169,10000,"-CD3/CD28, +PDL1",1.05937
14169,50000,"-CD3/CD28, +PDL1",1.00426
14169,250000,"-CD3/CD28, +PDL1",0.94832
14169,0,"-CD3/CD28, +PDL1",1.058872
14169,10000,"-CD3/CD28, +PDL1",0.993388
14169,50000,"-CD3/CD28, +PDL1",1.013722
14169,250000,"-CD3/CD28, +PDL1",0.906075
14169,0,"-CD3/CD28, +PDL1",1.004592
14169,10000,"-CD3/CD28, +PDL1",1.010319
14169,50000,"-CD3/CD28, +PDL1",0.95828
14169,250000,"-CD3/CD28, +PDL1",0.934045
14169,0,"+CD3/CD28, +PDL1",0.883915
14169,10000,"+CD3/CD28, +PDL1",0.977369
14169,50000,"+CD3/CD28, +PDL1",0.9411
14169,250000,"+CD3/CD28, +PDL1",0.520472
14169,0,"+CD3/CD28, +PDL1",0.936867
14169,10000,"+CD3/CD28, +PDL1",0.986831
14169,50000,"+CD3/CD28, +PDL1",0.982598
14169,250000,"+CD3/CD28, +PDL1",0.57442
14169,0,"+CD3/CD28, +PDL1",0.938278
14169,10000,"+CD3/CD28, +PDL1",1.048414
14169,50000,"+CD3/CD28, +PDL1",0.986748
14169,250000,"+CD3/CD28, +PDL1",0.58604
