cell_line,concentration,condition,normalized_viability
U937-A2,0,"-CD3/CD28, -PDL1",0.98037
U937-A2,10000,"-CD3/CD28, -PDL1",1.031958
U937-A2,50000,"-CD3/CD28, -PDL1",1.03037
U937-A2,250000,"-CD3/CD28, -PDL1",0.865291
U937-A2,0,"-CD3/CD28, -PDL1",1.003704
U937-A2,10000,"-CD3/CD28, -PDL1",1.060847
U937-A2,50000,"-CD3/CD28, -PDL1",1.045132
U937-A2,250000,"-CD3/CD28, -PDL1",0.873069
U937-A2,0,"-CD3/CD28, -PDL1",1.015926
U937-A2,10000,"-CD3/CD28, -PDL1",1.074974
U937-A2,50000,"-CD3/CD28, -PDL1",1.058148
U937-A2,250000,"-CD3/CD28, -PDL1",0.878624
U937-A2,0,"+CD3/CD28, -PDL1",1.016085
U937-A2,10000,"+CD3/CD28, -PDL1",0.009259
U937-A2,50000,"+CD3/CD28, -PDL1",0.003386
U937-A2,250000,"+CD3/CD28, -PDL1",0.003228
U937-A2,0,"+CD3/CD28, -PDL1",1.078624
U937-A2,10000,"+CD3/CD28, -PDL1",0.006561
U937-A2,50000,"+CD3/CD28, -PDL1",0.004656
U937-A2,250000,"+CD3/CD28, -PDL1",0.003704
U937-A2,0,"+CD3/CD28, -PDL1",1.193386
U937-A2,10000,"+CD3/CD28, -PDL1",0.014974
U937-A2,50000,"+CD3/CD28, -PDL1",0.004021
U937-A2,250000,"+CD3/CD28, -PDL1",0.002275
U937-A2,0,"-CD3/CD28, +PDL1",1.160847
U937-A2,10000,"-CD3/CD28, +PDL1",1.287037
U937-A2,50000,"-CD3/CD28, +PDL1",1.286878
U937-A2,250000,"-CD3/CD28, +PDL1",1.059735
U937-A2,0,"-CD3/CD28, +PDL1",1.199418
U937-A2,10000,"-CD3/CD28, +PDL1",1.231799
U937-A2,50000,"-CD3/CD28, +PDL1",1.318783
U937-A2,250000,"-CD3/CD28, +PDL1",1.071005
U937-A2,0,"-CD3/CD28, +PDL1",1.235926
U937-A2,10000,"-CD3/CD28, +PDL1",1.25291
U937-A2,50000,"-CD3/CD28, +PDL1",1.240529
U937-A2,250000,"-CD3/CD28, +PDL1",0.92291
U937-A2,0,"+CD3/CD28, +PDL1",0.993069
U937-A2,10000,"+CD3/CD28, +PDL1",0.009735
U937-A2,50000,"+CD3/CD28, +PDL1",0.002593
U937-A2,250000,"+CD3/CD28, +PDL1",0.002116
U937-A2,0,"+CD3/CD28, +PDL1",1.098466
U937-A2,10000,"+CD3/CD28, +PDL1",0.008942
U937-A2,50000,"+CD3/CD28, +PDL1",0.001958
U937-A2,250000,"+CD3/CD28, +PDL1",0.001799
U937-A2,0,"+CD3/CD28, +PDL1",1.144974
U937-A2,10000,"+CD3/CD28, +PDL1",0.016878
U937-A2,50000,"+CD3/CD28, +PDL1",0.001164
U937-A2,250000,"+CD3/CD28, +PDL1",0.00164
