cell_line,concentration,condition,normalized_viability
10-15,0,"-CD3/CD28, -PDL1",1.060644592
10-15,10000,"-CD3/CD28, -PDL1",1.176630553
10-15,50000,"-CD3/CD28, -PDL1",1.027651288
10-15,250000,"-CD3/CD28, -PDL1",0.841603537
10-15,0,"-CD3/CD28, -PDL1",0.951907754
10-15,10000,"-CD3/CD28, -PDL1",0.972009374
10-15,50000,"-CD3/CD28, -PDL1",1.048536598
10-15,250000,"-CD3/CD28, -PDL1",0.967581532
10-15,0,"-CD3/CD28, -PDL1",0.987448046
10-15,10000,"-CD3/CD28, -PDL1",0.916485014
10-15,50000,"-CD3/CD28, -PDL1",0.890035513
10-15,250000,"-CD3/CD28, -PDL1",0.859510829
10-15,0,"+CD3/CD28, -PDL1",0.957902974
10-15,10000,"+CD3/CD28, -PDL1",0.836587928
10-15,50000,"+CD3/CD28, -PDL1",0.607594024
10-15,250000,"+CD3/CD28, -PDL1",0.043220444
10-15,0,"+CD3/CD28, -PDL1",0.870168999
10-15,10000,"+CD3/CD28, -PDL1",0.855278909
10-15,50000,"+CD3/CD28, -PDL1",0.643447792
10-15,250000,"+CD3/CD28, -PDL1",0.077585204
10-15,0,"+CD3/CD28, -PDL1",0.864017041
10-15,10000,"+CD3/CD28, -PDL1",0.90049776
10-15,50000,"+CD3/CD28, -PDL1",0.505518541
10-15,250000,"+CD3/CD28, -PDL1",0.086597626
10-15,0,"-CD3/CD28, +PDL1",1.003709592
10-15,10000,"-CD3/CD28, +PDL1",0.924596194
10-15,50000,"-CD3/CD28, +PDL1",0.842779071
10-15,250000,"-CD3/CD28, +PDL1",0.763313014
10-15,0,"-CD3/CD28, +PDL1",0.875694006
10-15,10000,"-CD3/CD28, +PDL1",0.876164219
10-15,50000,"-CD3/CD28, +PDL1",0.915427034
10-15,250000,"-CD3/CD28, +PDL1",0.822716634
10-15,0,"-CD3/CD28, +PDL1",0.990582802
10-15,10000,"-CD3/CD28, +PDL1",0.885098273
10-15,50000,"-CD3/CD28, +PDL1",0.784590168
10-15,250000,"-CD3/CD28, +PDL1",0.679105639
10-15,0,"+CD3/CD28, +PDL1",0.914525792
10-15,10000,"+CD3/CD28, +PDL1",0.909353445
10-15,50000,"+CD3/CD28, +PDL1",0.71507696
10-15,250000,"+CD3/CD28, +PDL1",0.029035675
10-15,0,"+CD3/CD28, +PDL1",0.883530895
10-15,10000,"+CD3/CD28, +PDL1",0.885764408
10-15,50000,"+CD3/CD28, +PDL1",0.837449986
10-15,250000,"+CD3/CD28, +PDL1",0.052938187
10-15,0,"+CD3/CD28, +PDL1",0.938075644
10-15,10000,"+CD3/CD28, +PDL1",0.863977856
10-15,50000,"+CD3/CD28, +PDL1",0.533026023
10-15,250000,"+CD3/CD28, +PDL1",0.088008266
